Прізвище Ім'я По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Христенко Соломон Леонтійович,Чоловіча,1993-07-27,Програміст,село Скадовськ,"набережна Благовидової, буд. 5 кв. 2, Карлівка, 32612",+380 88 671-12-21,klavdiiababiichuk@example.org
Асаула Аніта Дмитріївна,Жіноча,1982-05-05,Менеджер,село Бердичів,"площа 11-та ст. Великого Фонтану пляж, буд. 334, Мерефа, 07464",+380 20 689-32-25,mykolaihavrylyshyn@example.net
Дзюба Борислав Устимович,Чоловіча,1970-02-16,Програміст,хутір Вишгород,"узвіз Ф. Пішеніна, буд. 7, Луганськ, 23546",152 42 79,marynariabovil@example.net
Гавриленко Веніямин Антонович,Чоловіча,1967-12-19,Директор,селище Новгород-Сіверський,"вулиця Тополина, буд. 55 кв. 4, Галич, 23896",047 736 31 16,vasylynarak@example.org
Мірошниченко Аврелій Семенович,Чоловіча,1968-07-12,Директор,селище Луганськ,"узвіз Юрія Яновського, буд. 203, Богуслав, 97525",044 258 55 51,mariia50@example.net
Удовиченко Надія Богодарівна,Жіноча,1957-06-20,Аналітик,місто Корець,"провулок Нафтовиків 1-й, буд. 23, Таврійськ, 66906",+380 65 349-12-31,bohuslav12@example.com
Бабиченко Ярина Францівна,Жіноча,1980-06-16,Директор,місто Ясинувата,"проспект Проїзний 1-й, буд. 54, Червоносів, 10571",061 545 35 52,vasylechkokostiantyn@example.org
Сомко Аніта Леонтіївна,Жіноча,1981-04-27,Аналітик,хутір Коростишів,"шосе Вчительської, 2-й, буд. 09 кв. 9, Сєвєродонецьк, 74626",032 982 13 58,marusiachuiko@example.org
Заєць Ірена Кирилівна,Жіноча,1945-05-26,Директор,селище Івано-Франківськ,"парк Новосельского, буд. 31 кв. 1, Мирноград, 88133",741 70 28,shutkoboleslav@example.net
Височан Вʼячеслав Мирославович,Чоловіча,1945-05-07,Директор,селище Алчевськ,"сквер Ляпунова, буд. 9 кв. 70, Київ, 55970",022 652 70 99,ykashchenko@example.org
Токар Ірена Борисівна,Жіноча,1957-11-16,Менеджер,селище Добромиль,"вулиця Садова 5-та, буд. 120 кв. 5, П'ятихатки, 39864",059 115 83 41,demydhaidamaka@example.org
Коваленко Ірена Олександрівна,Жіноча,1967-07-20,Аналітик,місто Ржищів,"парк Нафтовиків 3-й, буд. 69 кв. 4, Охтирка, 32322",+380 (57) 693-07-63,zprymachenko@example.org
Кабалюк Мілена Микитівна,Жіноча,1949-01-11,Директор,село Дубровиця,"набережна Хімічний 1-й, буд. 820, Сарни, 74176",097 072 17 33,iustynasheremeta@example.org
Гаврюшенко Онисим Аврелійович,Чоловіча,1992-04-15,Аналітик,місто Чистякове,"проспект Кладовищенська, буд. 96, Миргород, 24075",041 873 95 12,vriabets@example.net
Євтушенко Дмитро Олесьович,Чоловіча,1940-08-17,Програміст,хутір Чернівці,"провулок Кавунова, буд. 846 кв. 57, Миргород, 58575",+380 31 470-23-15,cchalyi@example.org
Рубан Валентина Августинівна,Жіноча,1998-11-18,Директор,місто Ямпіль,"провулок Перлинна, буд. 539, Сторожинець, 45571",713-26-68,tetiana09@example.org
Гузь Борислав Ярославович,Чоловіча,1979-01-10,Менеджер,хутір Узин,"набережна Бернардацці, буд. 8, Золоте, 55697",010 850 54 00,batiukpanas@example.net
Бандура Тимофій Венедиктович,Чоловіча,1946-08-29,Директор,селище Подільськ,"набережна Гаріна, буд. 698 кв. 6, Сєвєродонецьк, 64966",098 141 43 42,davyd78@example.com
Сірко Ірина Ростиславівна,Жіноча,1982-03-04,Директор,село Зимогір'я,"сквер Дунаєвського 3-й, буд. 82, Ананьїв, 71208",+380 14 473-63-52,qzatovkaniuk@example.com
Лубенець Богуслава Вʼячеславівна,Жіноча,1946-03-22,Програміст,хутір Енергодар,"вулиця Маршала Говорова, буд. 569, Снятин, 64301",358-73-08,artemenkomykhailo@example.com
Дрозд Хома Олесьович,Чоловіча,1996-07-28,Директор,хутір Виноградів,"сквер Лиманчик 2-й Лінія 2-га, буд. 35 кв. 2, Моспине, 62342",+380 61 604-02-84,riabchenkoiustym@example.com
Франко Августин Павлович,Чоловіча,1991-03-07,Директор,місто Любомль,"шосе Тимірязєва, буд. 457 кв. 401, Дрогобич, 70198",010 786 95 99,snesterenko@example.com
Балабан Михайло Костянтинович,Чоловіча,2005-12-30,Аналітик,хутір Дубровиця,"сквер Радіальний, буд. 856, Кременчук, 94121",+380 88 602 45 32,chornovilborys@example.com
Євдокименко Георгій Кирилович,Чоловіча,1961-12-02,Програміст,хутір Підгородне,"набережна Гранатний, буд. 33 кв. 639, Слов'янськ, 37178",209-42-56,dan55@example.org
Христич Віктор Леонтійович,Чоловіча,1964-10-09,Програміст,місто Шепетівка,"парк Чорноморського козацтва, буд. 838 кв. 820, Стебник, 44359",839-04-54,taranboleslav@example.net
Вдовенко Тетяна Єлисеївна,Жіноча,1987-11-06,Директор,хутір Тетіїв,"парк Польський узвіз, буд. 94 кв. 8, Черкаси, 10311",001 142 66 27,hutsuliakhordii@example.com
Бабко Іван Лукʼянович,Чоловіча,1977-05-05,Менеджер,місто Сарни,"площа Овідіопольська дуга, буд. 3, Славутич, 37283",255 47 35,psirobaba@example.org
Дробаха Оксенія Мартинівна,Жіноча,1983-06-08,Аналітик,село Христинівка,"шосе Привокзальна, буд. 9, Новий Буг, 36456",012 090-47-62,fomenkovladyslav@example.com
Вертипорох Симон Артемович,Чоловіча,1955-07-12,Програміст,селище Брянка,"набережна Локальна, буд. 30 кв. 194, Глобине, 09903",+380 33 421-13-63,ikarpenko@example.net
Шведченко Давид Борисович,Чоловіча,1968-12-06,Аналітик,місто Вільногірськ,"вулиця Золотий берег, буд. 72 кв. 06, Каховка, 41875",387-16-65,priskabashpolchenko@example.org
Шеремет Леопольд Охрімович,Чоловіча,2007-03-17,Аналітик,селище Київ,"проспект Лавкова, буд. 3, Географія Вільнянська, 01087",668-42-25,tykhaieva@example.net
Опанасенко Августин Гаврилович,Чоловіча,1975-03-26,Програміст,місто Олешки,"парк Удільний, буд. 5 кв. 49, Полонне, 67720",679-41-44,mivanchenko@example.com
Давимука Віталій Микитович,Чоловіча,1989-11-15,Менеджер,місто Судова Вишня,"шосе Лузанівський 2-й, буд. 3, Новогродівка, 75384",015 105 27 24,valentyn03@example.org
Скопенко Іван Борисович,Чоловіча,1966-07-15,Програміст,селище Яворів,"парк Набережна, буд. 47 кв. 986, Нове Давидково, 33829",+380 55 378-49-00,panastereshchenko@example.org
Товстуха Златослава Варфоломіївна,Жіноча,1987-12-14,Менеджер,місто Антрацит ,"вулиця Степова, буд. 061 кв. 45, Джанкой, 38714",+380 14 048-78-17,npelekh@example.net
Рубець Яків Георгійович,Чоловіча,1947-02-05,Аналітик,місто Городок,"провулок Улітіна, буд. 340, Зеленодольськ, 35706",477-37-69,veniiamyndemianchuk@example.net
